judul,link,ringkasan,tanggal_publikasi,sumber,kata_kunci,domain,lokasi_kejadian,jenis_bencana,judul_bersih,datetime_utc,datetime_wib,datetime_wib_excel,tanggal_wib,waktu_wib,status_verifikasi,is_bencana,verified_by,verified_at,notes
BPJN Sumbar Tangani Longsor di Sejumlah Ruas Jalan Nasional - RRI.co.id,https://news.google.com/rss/articles/CBMioAFBVV95cUxOSWM1OHA0SFdqSGt5dGxtWE55dGpIc2hXdmtVemZJS1ZDXzhGaTY0bUVrNnFRTEc3SUZDUF94WDFKZjJ6YWt5ZG5ua2RvZHB0QlNIRm9wUzE2Rk1KNlNVRjJSOWlYTk5ENXN5UVVRZHlDdmNNYkM0clVlSktQdlJ2NmtBVXJ4S2hOX0VMbE92V1lXR1hUbEdfeWJydmQxNnJy?oc=5,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOSWM1OHA0SFdqSGt5dGxtWE55dGpIc2hXdmtVemZJS1ZDXzhGaTY0bUVrNnFRTEc3SUZDUF94WDFKZjJ6YWt5ZG5ua2RvZHB0QlNIRm9wUzE2Rk1KNlNVRjJSOWlYTk5ENXN5UVVRZHlDdmNNYkM0clVlSktQdlJ2NmtBVXJ4S2hOX0VMbE92V1lXR1hUbEdfeWJydmQxNnJy?oc=5"" target=""_blank"">BPJN Sumbar Tangani Longsor di Sejumlah Ruas Jalan Nasional</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RRI.co.id</font>",2025-11-27T01:35:00+00:00,RRI.co.id,longsor,news.google.com,Sumbar,Tanah Longsor,bpjn sumbar tangani longsor di sejumlah ruas jalan nasional rri co id,2025-11-27 01:35:00+00:00,2025-11-27 08:35:00+07:00,27-11-2025 08:35:00,27-11-2025,08:35:00,UNVERIFIED,,,,
Nabilah Aboe Bakar: Kolaborasi Pemerintah dan Warga Kunci Atasi Banjir Jakarta - beritabuana.co,https://news.google.com/rss/articles/CBMisgFBVV95cUxQblNZWFo3cmlZY201SFVlN21ZbnhjT2pvaDY1dEplYWVFY0ZqZU9zVHlnT0g4NjVsTEJpcjVRdWlPVGlDOE02UVpTR1RvUFdVZHA1TlJTWktwVi1qZWE4WG04WElQSjJKcUtpbWVSVmRaQW5BUV9ZRUV3OVRsQ092SzNOeU5fWjhSOWdhakl1VlJlQnBURl81b21JSV9SY0ZyRVVFd0lBbXF4ZV9UUUxUX2xB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQblNZWFo3cmlZY201SFVlN21ZbnhjT2pvaDY1dEplYWVFY0ZqZU9zVHlnT0g4NjVsTEJpcjVRdWlPVGlDOE02UVpTR1RvUFdVZHA1TlJTWktwVi1qZWE4WG04WElQSjJKcUtpbWVSVmRaQW5BUV9ZRUV3OVRsQ092SzNOeU5fWjhSOWdhakl1VlJlQnBURl81b21JSV9SY0ZyRVVFd0lBbXF4ZV9UUUxUX2xB?oc=5"" target=""_blank"">Nabilah Aboe Bakar: Kolaborasi Pemerintah dan Warga Kunci Atasi Banjir Jakarta</a>&nbsp;&nbsp;<font color=""#6f6f6f"">beritabuana.co</font>",2025-11-27T01:34:23+00:00,beritabuana.co,banjir,news.google.com,Jakarta,Banjir,nabilah aboe bakar kolaborasi pemerintah dan warga kunci atasi banjir jakarta beritabuana co,2025-11-27 01:34:23+00:00,2025-11-27 08:34:23+07:00,27-11-2025 08:34:23,27-11-2025,08:34:23,UNVERIFIED,,,,
Hari Ini Riau Berpotensi Diguyur Hujan Disertai Petir dan Angin Kencang - CAKAPLAH.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxNUk5Md0M0TTIzUXlQMUtYdGNwNlU1VmlKX2J2WlNaTFFpWjduVGVFcUc1V25fT1lkLW05UkZ2dy1UeFExOWdseW13eDY4dTRNNE1EaG5RSC1XdTU4Nll0SlA4TENxRHdkWUowQWFSdDl3bG9LMWlLZTg4cEswNXZpaE5QdEduQWlpSFBuZG9IVzZyaTdCbE5wbllSYldGQkNGN09rU2sweWNNNVFmV09XeWdzd3pic25pQktzVHJWT29TWktE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNUk5Md0M0TTIzUXlQMUtYdGNwNlU1VmlKX2J2WlNaTFFpWjduVGVFcUc1V25fT1lkLW05UkZ2dy1UeFExOWdseW13eDY4dTRNNE1EaG5RSC1XdTU4Nll0SlA4TENxRHdkWUowQWFSdDl3bG9LMWlLZTg4cEswNXZpaE5QdEduQWlpSFBuZG9IVzZyaTdCbE5wbllSYldGQkNGN09rU2sweWNNNVFmV09XeWdzd3pic25pQktzVHJWT29TWktE?oc=5"" target=""_blank"">Hari Ini Riau Berpotensi Diguyur Hujan Disertai Petir dan Angin Kencang</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CAKAPLAH.com</font>",2025-11-27T01:33:27+00:00,CAKAPLAH.com,angin kencang,news.google.com,Riau,Angin Kencang,hari ini riau berpotensi diguyur hujan disertai petir dan angin kencang cakaplah com,2025-11-27 01:33:27+00:00,2025-11-27 08:33:27+07:00,27-11-2025 08:33:27,27-11-2025,08:33:27,UNVERIFIED,,,,
Empat Wilayah di Sumatera Utara Diterjang Banjir dan Longsor Bersamaan - Lentera Today,https://news.google.com/rss/articles/CBMisgFBVV95cUxPTUlnaUVlMDJwZWNUaXpKejVXSzNNTFJHakt1SjVMdzZWXzk0RUhfcksyc3ByQ1dWZktWY0plLWFwRTVGWnpDUTgxMFRlSVlLTXJoLW5YOXpFRW50eVl2U1VmbU1oRUpOeUVQWlBNRTNJX2hKcXVKd2FuX0pPWTNSc2tQaWV5MF9jLTVIX1NSOTlhQklaX0xtdWtGLUhBZHBYN19iOG53NTRTNWtSbjVXc2dB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPTUlnaUVlMDJwZWNUaXpKejVXSzNNTFJHakt1SjVMdzZWXzk0RUhfcksyc3ByQ1dWZktWY0plLWFwRTVGWnpDUTgxMFRlSVlLTXJoLW5YOXpFRW50eVl2U1VmbU1oRUpOeUVQWlBNRTNJX2hKcXVKd2FuX0pPWTNSc2tQaWV5MF9jLTVIX1NSOTlhQklaX0xtdWtGLUhBZHBYN19iOG53NTRTNWtSbjVXc2dB?oc=5"" target=""_blank"">Empat Wilayah di Sumatera Utara Diterjang Banjir dan Longsor Bersamaan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lentera Today</font>",2025-11-27T01:32:55+00:00,Lentera Today,tanah longsor,news.google.com,Sumatera Utara,Banjir,empat wilayah di sumatera utara diterjang banjir dan longsor bersamaan lentera today,2025-11-27 01:32:55+00:00,2025-11-27 08:32:55+07:00,27-11-2025 08:32:55,27-11-2025,08:32:55,UNVERIFIED,,,,
"Banjir dan Longsor Landa 9 Wilayah di Sumut, Mandailing Natal Tetapkan Status Tanggap Darurat - Kompas.tv",https://news.google.com/rss/articles/CBMiygFBVV95cUxQdDZzT3pMSlFSQ0VlQVc1ejlvTHk2Q1NjMml1X3ZPS1JDeFp1bWZkMVlQRmxfMmFTakpIT2xTZ1VoNjV2MWhFUE9EWlQxVlphcWN2c3BCR2YySklBTnBkSG9fdmRMVmpnVDhNdnBicVRtNm1ZYmdsbkxJNnpzUjVSWWZrYURTY01TcFkyWEdSRENlRkRGTmRMMDRPMkFuUkpUZDdpQ1pPMEhmb2FkblREX1lFREpZY2w5QUdkQjhFNmlCU1AzMlI3VHpR0gHPAUFVX3lxTE80MkxHOTlGSlRqa2o3T3o3dGxuWG8tMVczTWhEVGptUGJKbXRzLVhiWXlGXy14WDFCS3hkYnRENjdxY2M0d3ZSNmxzMUtNMXU5NTdWWTlJc09mMkJIS1VyUTEzUDk0Y0IzYmVQSTkzbWlVNEc4Z1hQNFRyajBnU1hpWWhsYkZMQkdFaFJJSEw5YjJQcjVwV0VXUFd3TVR5U1Z4eFp5YjEwZXBUS3dSendtbHVfOG5wOUEwcm9wWE11SjdwNTJSd3lIV2lNcmJjZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQdDZzT3pMSlFSQ0VlQVc1ejlvTHk2Q1NjMml1X3ZPS1JDeFp1bWZkMVlQRmxfMmFTakpIT2xTZ1VoNjV2MWhFUE9EWlQxVlphcWN2c3BCR2YySklBTnBkSG9fdmRMVmpnVDhNdnBicVRtNm1ZYmdsbkxJNnpzUjVSWWZrYURTY01TcFkyWEdSRENlRkRGTmRMMDRPMkFuUkpUZDdpQ1pPMEhmb2FkblREX1lFREpZY2w5QUdkQjhFNmlCU1AzMlI3VHpR0gHPAUFVX3lxTE80MkxHOTlGSlRqa2o3T3o3dGxuWG8tMVczTWhEVGptUGJKbXRzLVhiWXlGXy14WDFCS3hkYnRENjdxY2M0d3ZSNmxzMUtNMXU5NTdWWTlJc09mMkJIS1VyUTEzUDk0Y0IzYmVQSTkzbWlVNEc4Z1hQNFRyajBnU1hpWWhsYkZMQkdFaFJJSEw5YjJQcjVwV0VXUFd3TVR5U1Z4eFp5YjEwZXBUS3dSendtbHVfOG5wOUEwcm9wWE11SjdwNTJSd3lIV2lNcmJjZw?oc=5"" target=""_blank"">Banjir dan Longsor Landa 9 Wilayah di Sumut, Mandailing Natal Tetapkan Status Tanggap Darurat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.tv</font>",2025-11-27T01:32:00+00:00,Kompas.tv,banjir,news.google.com,Sumut,Banjir,banjir dan longsor landa 9 wilayah di sumut mandailing natal tetapkan status tanggap darurat kompas tv,2025-11-27 01:32:00+00:00,2025-11-27 08:32:00+07:00,27-11-2025 08:32:00,27-11-2025,08:32:00,UNVERIFIED,,,,
"Gempa Magnitudo 5,1 Guncang Nias Barat Dini Hari, BMKG Pastikan Tak Berpotensi Tsunami - Nusantara Terkini",https://news.google.com/rss/articles/CBMisgFBVV95cUxNbHd4ZDY1ZXd1b2xjSTVaWlZCS0JGblVyYzRETHIzakgzVHRVSGgwMXNDcExUTmNuLVBxWGxsRC1vOC0wUzBuSzN2bjFKVHJKUkEySW5oaTJLeW1GWDVNdFJlbk8zRm02MWVQdWRzSDBEdU9ydTBNbUdrNFBwd1ZUYjEwUUxDSERJdlotRUdlWnZ2UUhQRGNqUVpKLVV1Ykg3d2I2LU9nZHJBMTBTLVRFYktB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNbHd4ZDY1ZXd1b2xjSTVaWlZCS0JGblVyYzRETHIzakgzVHRVSGgwMXNDcExUTmNuLVBxWGxsRC1vOC0wUzBuSzN2bjFKVHJKUkEySW5oaTJLeW1GWDVNdFJlbk8zRm02MWVQdWRzSDBEdU9ydTBNbUdrNFBwd1ZUYjEwUUxDSERJdlotRUdlWnZ2UUhQRGNqUVpKLVV1Ykg3d2I2LU9nZHJBMTBTLVRFYktB?oc=5"" target=""_blank"">Gempa Magnitudo 5,1 Guncang Nias Barat Dini Hari, BMKG Pastikan Tak Berpotensi Tsunami</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nusantara Terkini</font>",2025-11-27T01:32:00+00:00,Nusantara Terkini,gempa bumi,news.google.com,Nusantara,Gempa Bumi,gempa magnitudo 5 1 guncang nias barat dini hari bmkg pastikan tak berpotensi tsunami nusantara terkini,2025-11-27 01:32:00+00:00,2025-11-27 08:32:00+07:00,27-11-2025 08:32:00,27-11-2025,08:32:00,UNVERIFIED,,,,
Ratusan kendaraan terjebak banjir Sungai Batang Pasaman - ANTARA Sumatera Barat,https://news.google.com/rss/articles/CBMioAFBVV95cUxNNzlDbFdIV1BrNjI1VmJPNFFVRGJ6SXljdmJnMzZwb2RvNFVsdGlLSDNUTFRoUXZHUEkyaHd5YncxcmVKOFZXYTFqZHFHNzFjUXFXbHozZGtud3JDNDVZNnlmaTBsNUVCcWc5SnhSbmdhbm9yeGthV3JkSWhza0Vqcmo2eTlXVmRiUUxQOWFxM3dNWFFrYXpXdC1DY2RzTkVD0gGmAUFVX3lxTE1JSFpfR1pMdW1tR2diSXFhVzc1UFFlSnlmcXlNWVJCNkYtOTAtMDFDX2ZTdmJKZldOOC1xU29ycUtPVVk2bTF3TGdNcG1talhnNzdvR185VkFpeXhaMGV3aG53THVsVjhnQVprNTFMeDZCZ1JPNjNaSVotVTRqTk5wamNxT1VibEtROG43V0lUYTRsNmJKTGhHVTJxb3p6VkVTT2dFUHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNNzlDbFdIV1BrNjI1VmJPNFFVRGJ6SXljdmJnMzZwb2RvNFVsdGlLSDNUTFRoUXZHUEkyaHd5YncxcmVKOFZXYTFqZHFHNzFjUXFXbHozZGtud3JDNDVZNnlmaTBsNUVCcWc5SnhSbmdhbm9yeGthV3JkSWhza0Vqcmo2eTlXVmRiUUxQOWFxM3dNWFFrYXpXdC1DY2RzTkVD0gGmAUFVX3lxTE1JSFpfR1pMdW1tR2diSXFhVzc1UFFlSnlmcXlNWVJCNkYtOTAtMDFDX2ZTdmJKZldOOC1xU29ycUtPVVk2bTF3TGdNcG1talhnNzdvR185VkFpeXhaMGV3aG53THVsVjhnQVprNTFMeDZCZ1JPNjNaSVotVTRqTk5wamNxT1VibEtROG43V0lUYTRsNmJKTGhHVTJxb3p6VkVTT2dFUHc?oc=5"" target=""_blank"">Ratusan kendaraan terjebak banjir Sungai Batang Pasaman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANTARA Sumatera Barat</font>",2025-11-27T01:29:52+00:00,ANTARA Sumatera Barat,banjir,news.google.com,Sumatera Barat,Banjir,ratusan kendaraan terjebak banjir sungai batang pasaman antara sumatera barat,2025-11-27 01:29:52+00:00,2025-11-27 08:29:52+07:00,27-11-2025 08:29:52,27-11-2025,08:29:52,UNVERIFIED,,,,
"Air Sungai Meluap Pasca Hujan, Banjir Rendam Permukiman Warga di Sumut | SAPA PAGI - Kompas.tv",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNc0R0eng5VmVjeU0wd2tqRHA4Y05FeUV5TEZjMXpXSDEyTmZLYlJ0UG5ueUFkTVlTQmpMYklwTGFoZFVjS0V5eXNidk56amxXOG5QakkwWXpOc2ttNXFyQ01ENHZnVW5DVVhMUGJGWExzWU10c3VQN0k1YXp5bDh5czQ3Xzd3dFJ3cjg4b2pBcXprS2VxeXNjTUZGaEhHdkdweVVGbFJPZXh2aVdnZE83Vi01eDZGanFI0gG-AUFVX3lxTE5ubGpBZTRNdER3blByeVdTTnM1MFZMdU5WTUxhU0Q1OTVWMVBScUZBbi1YOUpWeGFwU1Y1Z0NJQnJnQ2NhSFRmS19iSTFfMnNENjhla216QWxudUdNU09wdDB5NkRpdnRDTlFMM2JUSHhCbUo0TDQxbENYSTRZd0hQQ0lvVWFzdVhaZnFneUJmNWRKYXVfRHQtUF83WFQ1dFc2OVV6d0IyUkNvYzA4SmpvZmZacTgzOFlpOUd1ZHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNc0R0eng5VmVjeU0wd2tqRHA4Y05FeUV5TEZjMXpXSDEyTmZLYlJ0UG5ueUFkTVlTQmpMYklwTGFoZFVjS0V5eXNidk56amxXOG5QakkwWXpOc2ttNXFyQ01ENHZnVW5DVVhMUGJGWExzWU10c3VQN0k1YXp5bDh5czQ3Xzd3dFJ3cjg4b2pBcXprS2VxeXNjTUZGaEhHdkdweVVGbFJPZXh2aVdnZE83Vi01eDZGanFI0gG-AUFVX3lxTE5ubGpBZTRNdER3blByeVdTTnM1MFZMdU5WTUxhU0Q1OTVWMVBScUZBbi1YOUpWeGFwU1Y1Z0NJQnJnQ2NhSFRmS19iSTFfMnNENjhla216QWxudUdNU09wdDB5NkRpdnRDTlFMM2JUSHhCbUo0TDQxbENYSTRZd0hQQ0lvVWFzdVhaZnFneUJmNWRKYXVfRHQtUF83WFQ1dFc2OVV6d0IyUkNvYzA4SmpvZmZacTgzOFlpOUd1ZHc?oc=5"" target=""_blank"">Air Sungai Meluap Pasca Hujan, Banjir Rendam Permukiman Warga di Sumut | SAPA PAGI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.tv</font>",2025-11-27T01:29:00+00:00,Kompas.tv,banjir,news.google.com,Sumut,Banjir,air sungai meluap pasca hujan banjir rendam permukiman warga di sumut sapa pagi kompas tv,2025-11-27 01:29:00+00:00,2025-11-27 08:29:00+07:00,27-11-2025 08:29:00,27-11-2025,08:29:00,UNVERIFIED,,,,
"Banjir dan Longsor Aceh Tengah: 9 Orang Tewas, 2 Belum Dievakuasi - Kompas.com",https://news.google.com/rss/articles/CBMitwFBVV95cUxQQmd3RDM2cWlsR3B2UVRnOUtGYWV1UUt2WmFPVFdHUlpMMmlWTTFaN3dSUHhQN1VMZFJXTHVMbnNfRUZ0NzQtTVQ3aVN6YmFxSzVHcFJqQnRtazF4T1VPRHlXY3hqOUNEdHJSODBFVGFOTi1iN3ZvWjhfMTdNVUdDZUpaQzRodUd5b1JJLUU3c3RiaTNVNVl5aGNVSUEyVnBtQmJuVGQ3ZjhrcHlqUDBNSm9QN1RHYkE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQQmd3RDM2cWlsR3B2UVRnOUtGYWV1UUt2WmFPVFdHUlpMMmlWTTFaN3dSUHhQN1VMZFJXTHVMbnNfRUZ0NzQtTVQ3aVN6YmFxSzVHcFJqQnRtazF4T1VPRHlXY3hqOUNEdHJSODBFVGFOTi1iN3ZvWjhfMTdNVUdDZUpaQzRodUd5b1JJLUU3c3RiaTNVNVl5aGNVSUEyVnBtQmJuVGQ3ZjhrcHlqUDBNSm9QN1RHYkE?oc=5"" target=""_blank"">Banjir dan Longsor Aceh Tengah: 9 Orang Tewas, 2 Belum Dievakuasi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>",2025-11-27T01:28:00+00:00,Kompas.com,banjir,news.google.com,Aceh,Banjir,banjir dan longsor aceh tengah 9 orang tewas 2 belum dievakuasi kompas com,2025-11-27 01:28:00+00:00,2025-11-27 08:28:00+07:00,27-11-2025 08:28:00,27-11-2025,08:28:00,UNVERIFIED,,,,
"10 Kabupaten/Kota di Aceh Dilanda Banjir, Ribuan Jiwa Terdampak - MetroTVNews.com",https://news.google.com/rss/articles/CBMipwFBVV95cUxNTnhrOURxcUxyNjRTNzJxRllaa2lJQlNwUEtNN2dScHNvRy0wTTZ5TlpUQ0tReFhzcm9DRF84OThfR3Z3MW1XRjJKNi1ZV3pSTnRNNVUwaGgxYk1qRkV5ckxydXp0Y1h1RzhmWlpRZVlDbHM2NUpMamhwV0JNdHB0OHZhTEoxSnNhSXhUSVoxbG5yN3FiUWgxUDhNaTNLN0tCaUhWVkdIWQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNTnhrOURxcUxyNjRTNzJxRllaa2lJQlNwUEtNN2dScHNvRy0wTTZ5TlpUQ0tReFhzcm9DRF84OThfR3Z3MW1XRjJKNi1ZV3pSTnRNNVUwaGgxYk1qRkV5ckxydXp0Y1h1RzhmWlpRZVlDbHM2NUpMamhwV0JNdHB0OHZhTEoxSnNhSXhUSVoxbG5yN3FiUWgxUDhNaTNLN0tCaUhWVkdIWQ?oc=5"" target=""_blank"">10 Kabupaten/Kota di Aceh Dilanda Banjir, Ribuan Jiwa Terdampak</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MetroTVNews.com</font>",2025-11-27T01:26:35+00:00,MetroTVNews.com,banjir,news.google.com,Aceh,Banjir,10 kabupaten kota di aceh dilanda banjir ribuan jiwa terdampak metrotvnews com,2025-11-27 01:26:35+00:00,2025-11-27 08:26:35+07:00,27-11-2025 08:26:35,27-11-2025,08:26:35,UNVERIFIED,,,,
"Banjir Bandang Landa Sumbar dan Sumut, BMN Minta Penanganan Cepat dan Terkoordinasi - Katakabar.com",https://news.google.com/rss/articles/CBMivAFBVV95cUxNMkxQNU9fOHd6TDlneWltaEZhY3ZsQ19TeVRZSUk4bko2cXpzNkhST2xvOFpWejdOdjdYYkNJand0R215QU9Cb0ZZSG92M0pSRnFLWHU5SlQtMkhXT3BlUUd1MEFPZDl1dnVZM2NrNGdOVjd5VUgtajRXeVNKT0w0U3BTdDJ4ekJNZ01IRXRFZFAxVzdsQ0dLSmZJWmI5VFJJZ0xGeVgyeWtGVVBWX3paT3JOeEM1T25NWkF6RQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNMkxQNU9fOHd6TDlneWltaEZhY3ZsQ19TeVRZSUk4bko2cXpzNkhST2xvOFpWejdOdjdYYkNJand0R215QU9Cb0ZZSG92M0pSRnFLWHU5SlQtMkhXT3BlUUd1MEFPZDl1dnVZM2NrNGdOVjd5VUgtajRXeVNKT0w0U3BTdDJ4ekJNZ01IRXRFZFAxVzdsQ0dLSmZJWmI5VFJJZ0xGeVgyeWtGVVBWX3paT3JOeEM1T25NWkF6RQ?oc=5"" target=""_blank"">Banjir Bandang Landa Sumbar dan Sumut, BMN Minta Penanganan Cepat dan Terkoordinasi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Katakabar.com</font>",2025-11-27T01:24:00+00:00,Katakabar.com,banjir,news.google.com,Sumbar,Banjir,banjir bandang landa sumbar dan sumut bmn minta penanganan cepat dan terkoordinasi katakabar com,2025-11-27 01:24:00+00:00,2025-11-27 08:24:00+07:00,27-11-2025 08:24:00,27-11-2025,08:24:00,UNVERIFIED,,,,
"Rutan di Langkat Sumut Terendam Banjir, Ratusan Tahanan Dievakuasi - detikNews",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQaDNHTVdIenFwR3V4ZmR0Y0pDY1pKOHFCaUVmTFAxSUttbUlJNVlOVGhwUFpPeEk5Mm1MdzBHcElFSFpORUVRc3VqOGl2M0lRM3pqb0M0ckFLWm83TzJiRENsMEZFbHRpM1kzVDc2Wjk3ellvWV9WWmdPMlluSlZUSGpweWlkR1hWcjFJS3l1LUtlLUZCMUstd2RkN2VqcHI3bEVmT3FQYnfSAa4BQVVfeXFMT0M0eWlGWmhBX2dDWVV3cUdCdXlDYlhLU21wWXFLTXlCc2hyZWNYMjZDOFRnZGRCTGR3YjBZN0lHVHZvQ190RklkV1laTzJESnV5X0RmU3NRWmhySFJCT1ExMC1PWTBUNEZxOVFCdUs1TE0yTlFlWjBnYUJ3RUVSdlpaZ1J2Nkllc3ZENEc3MVdsZnpCS3JxNDhHd1g4RURBNkI3OVBXS1FtWTI1QThR?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQaDNHTVdIenFwR3V4ZmR0Y0pDY1pKOHFCaUVmTFAxSUttbUlJNVlOVGhwUFpPeEk5Mm1MdzBHcElFSFpORUVRc3VqOGl2M0lRM3pqb0M0ckFLWm83TzJiRENsMEZFbHRpM1kzVDc2Wjk3ellvWV9WWmdPMlluSlZUSGpweWlkR1hWcjFJS3l1LUtlLUZCMUstd2RkN2VqcHI3bEVmT3FQYnfSAa4BQVVfeXFMT0M0eWlGWmhBX2dDWVV3cUdCdXlDYlhLU21wWXFLTXlCc2hyZWNYMjZDOFRnZGRCTGR3YjBZN0lHVHZvQ190RklkV1laTzJESnV5X0RmU3NRWmhySFJCT1ExMC1PWTBUNEZxOVFCdUs1TE0yTlFlWjBnYUJ3RUVSdlpaZ1J2Nkllc3ZENEc3MVdsZnpCS3JxNDhHd1g4RURBNkI3OVBXS1FtWTI1QThR?oc=5"" target=""_blank"">Rutan di Langkat Sumut Terendam Banjir, Ratusan Tahanan Dievakuasi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">detikNews</font>",2025-11-27T01:20:53+00:00,detikNews,banjir,news.google.com,Sumut,Banjir,rutan di langkat sumut terendam banjir ratusan tahanan dievakuasi detiknews,2025-11-27 01:20:53+00:00,2025-11-27 08:20:53+07:00,27-11-2025 08:20:53,27-11-2025,08:20:53,UNVERIFIED,,,,
"Banjir dan Longsor Landa Sumut, Jaringan Komunikasi Alami Gangguan - CNN Indonesia",https://news.google.com/rss/articles/CBMiywFBVV95cUxQM1VlS1lYaDlDZTJqcnQ1bDNGdWk2LVp2S2dsRFVMREpSaS1COE9ZUldpdTMwTG9IOXNidEJvLTVVZjZRWHl6QUJsYUdtSHJZUWFmRjdZRkxyS2JfeHlRbElCdGFlM0NWWkZLOVNYZ0hETnlEMzhzSkFvdjNlWVVHbVdnOWgxM3o5NzY3OUJ4V01RZllIbUVId1BGOGlVRlpubE9aRExJLTE2QzJScjc5WUlTVVFldmFQLXhJeGoxT2s1ZlBRdkZlRHB5b9IB0AFBVV95cUxQczJadTY2elNJcjJOTi05NVJFQzgzcEU3MUN4ZE81TGtyNFlBcWVSZGJkY3JJLUVBUjJQUTV2aHdmQmV1MV9aMEk3SnhaV1QyT1NPaVVNcldiZEd2Tm0xNURFdldwZnA0VjR0S0JHek9tdi1ZaURBejFDYVFrRERvQUtnTHZWVVJDVXdoOHFlYnBTMVQ1d3lFeEIyT0tReUljellndkkzQUpfWm4xWFp3bzdzbWo4UlFWUlZUOFJKVG1ZSW5Yel9JUGVVZ0U0Nkh1?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQM1VlS1lYaDlDZTJqcnQ1bDNGdWk2LVp2S2dsRFVMREpSaS1COE9ZUldpdTMwTG9IOXNidEJvLTVVZjZRWHl6QUJsYUdtSHJZUWFmRjdZRkxyS2JfeHlRbElCdGFlM0NWWkZLOVNYZ0hETnlEMzhzSkFvdjNlWVVHbVdnOWgxM3o5NzY3OUJ4V01RZllIbUVId1BGOGlVRlpubE9aRExJLTE2QzJScjc5WUlTVVFldmFQLXhJeGoxT2s1ZlBRdkZlRHB5b9IB0AFBVV95cUxQczJadTY2elNJcjJOTi05NVJFQzgzcEU3MUN4ZE81TGtyNFlBcWVSZGJkY3JJLUVBUjJQUTV2aHdmQmV1MV9aMEk3SnhaV1QyT1NPaVVNcldiZEd2Tm0xNURFdldwZnA0VjR0S0JHek9tdi1ZaURBejFDYVFrRERvQUtnTHZWVVJDVXdoOHFlYnBTMVQ1d3lFeEIyT0tReUljellndkkzQUpfWm4xWFp3bzdzbWo4UlFWUlZUOFJKVG1ZSW5Yel9JUGVVZ0U0Nkh1?oc=5"" target=""_blank"">Banjir dan Longsor Landa Sumut, Jaringan Komunikasi Alami Gangguan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN Indonesia</font>",2025-11-27T01:20:44+00:00,CNN Indonesia,banjir,news.google.com,Sumut,Banjir,banjir dan longsor landa sumut jaringan komunikasi alami gangguan cnn indonesia,2025-11-27 01:20:44+00:00,2025-11-27 08:20:44+07:00,27-11-2025 08:20:44,27-11-2025,08:20:44,UNVERIFIED,,,,
